2021,rap,89,tr,2
2021,edm,78,tr,3
2022,rap,96,tr,1
2022,edm,77,tr,2
2022,pop,69,tr,3
2018,rap,125,us,1
2018,pop,92,us,2
2018,hip hop,90,us,3
2019,pop,95,us,1
2019,rap,74,us,2
2019,edm,56,us,3
2020,pop,102,us,1
2020,rap,73,us,2
2020,edm,49,us,3
2021,pop,104,us,1
2021,rap,75,us,2
2021,hip hop,47,us,3
2022,pop,109,us,1
2022,rap,55,us,2
2022,hip hop,37,us,3
