country,year,name,artists,rank,genre
br,2019,Surtada - Remix Brega Funk,"['Dadá Boladão', 'Tati Zaqui', 'OIK']",3,Pop Rap
br,2019,Supera - Ao Vivo,['Marília Mendonça'],4,Sertanejo
br,2019,Some que ele vem atrás,"['Anitta', 'Marília Mendonça']",5,Dance-Pop
br,2019,Cheirosa - Ao Vivo,['Jorge & Mateus'],6,Sertanejo
br,2019,SENTADÃO,"['PEDRO SAMPAIO', 'Felipe Original', 'JS o Mão de Ouro']",7,Funk
br,2019,Hit Contagiante - Remix,"['Felipe Original', 'MC Kevin o Chris', 'Sodré', 'JS o Mão de Ouro']",8,Funk
br,2019,quando a bad bater - ao vivo,['Luan Santana'],9,Sertanejo
br,2019,Tijolão - Ao Vivo,['Jorge & Mateus'],10,Sertanejo
br,2020,Amor ou o Litrão,"['Petter Ferraz', 'Menor Nico']",1,Electronic
br,2020,Oh Juliana,['Niack'],2,Funk
br,2020,Investe Em Mim,['Jonas Esticado'],3,Electronic forro
br,2020,Meia Noite (Você tem meu Whatsapp),['Tarcísio do Acordeon'],4,Piseiro
br,2020,Ilusão (Cracolândia),"['MC Hariel', 'Alok', 'Djay W', 'Mc Davi', 'MC Ryan SP', 'Salvador Da Rima']",5,Pop Rap
br,2020,Lance Individual,['Jorge & Mateus'],6,Sertanejo
br,2020,De Menina pra Mulher - Ao Vivo,['Gusttavo Lima'],7,Sertanejo
br,2020,Recairei - Ao Vivo,['Os Barões Da Pisadinha'],8,Piseiro
br,2020,Desce Pro Play (PA PA PA),"['ZAAC', 'Anitta', 'Tyga']",9,Pop Rap
br,2020,Só Você,['MC Rogerinho'],10,Funk
br,2021,Esqueça-Me Se For Capaz,"['Marília Mendonça', 'Maiara & Maraisa']",1,Piseiro
br,2021,Arranhão - Ao Vivo,['Henrique & Juliano'],2,Pop Rock
br,2021,Coração Cachorro,"['Avine Vinny', 'Matheus Fernandes']",3,Electronic forro
br,2021,Meu Pedaço de Pecado,['João Gomes'],4,Piseiro
br,2021,Presepada,"['Marília Mendonça', 'Maiara & Maraisa']",5,Sertanejo
br,2021,Toma Toma Vapo Vapo,"['Zé Felipe', 'Mc Danny']",6,Piseiro
br,2021,Vai Lá Em Casa Hoje,"['George Henrique & Rodrigo', 'Marília Mendonça']",7,Sertanejo
br,2021,Revoada No Colchão,"['Zé Felipe', 'Marcynho Sensação']",8,Piseiro
br,2021,Ela e Ela,['Zé Neto & Cristiano'],9,Sertanejo
br,2021,Ameaça,"['Paulo Pires', 'Mc Danny', 'Marcynho Sensação']",10,Piseiro
br,2022,Eu Gosto Assim - Ao Vivo,"['Gustavo Mioto', 'Mari Fernandez']",1,Piseiro
br,2022,Haja Colírio (feat. Hugo & Guilherme) - Ao Vivo,"['Guilherme & Benuto', 'Hugo & Guilherme']",2,Sertanejo
br,2022,Mal Feito - Ao Vivo,"['Hugo & Guilherme', 'Marília Mendonça']",3,Sertanejo
br,2022,Casei Com a Putaria,"['Mc Paiva ZS', 'MC Ryan SP', 'Kotim']",4,Trap Funk
br,2022,Ai Preto,"['L7NNON', 'DJ Biel do Furduncinho', 'Bianca']",5,Funk
br,2022,Poesia Acústica 13,"['Pineapple StormTv', 'Chris MC', 'Salve Malak', 'Tz da Coronel', 'MC Cabelinho', 'Chefin', 'L7NNON', 'Luísa Sonza', 'Oruam', 'Xamã', 'N.I.N.A']",6,Trap
br,2022,Pipoco,"['Ana Castela', 'Melody', 'Dj Chris No Beat']",7,Funk
br,2022,Felina,"['WIU', 'MC Ryan SP']",8,Pop Rap
br,2022,Malvadão 3,"['Xamã', 'Gustah', 'Neo Beats', 'Bagua Records']",9,Pop Rap
br,2022,Sereia,"['Orochi', 'MC Ryan SP', 'Oruam', 'Xamã', 'Neo Beats', 'Kizzy', 'Mainstreet']",10,Trap
ca,2018,"thank u, next",['Ariana Grande'],1,Contemporary R&B
ca,2018,ZEZE (feat. Travis Scott & Offset),"['Kodak Black', 'Offset', 'Travis Scott']",2,Hip Hop
ca,2018,Going Bad (feat. Drake),"['Meek Mill', 'Drake']",3,Trap
ca,2018,In My Feelings,['Drake'],4,Pop Rap
ca,2018,SICKO MODE,['Travis Scott'],5,Trap
