country,year,track_id,name,artists,duration,artist_genres,explicit,total_streams,weeks_on_chart,average_streams,rank
no,2022,49LvD3xCNUitKp7ex86B3P,"KENYA - Live from DY Patil Stadium, Mumbai","['Karpe', 'Omar Sheriff']",226965,"['norwegian pop', 'norwegian hip hop', 'norwegian indie']",false,9240943,42,220022.45238095237,76
no,2022,03OkFJQvdweiwzZcPPsQ23,Lekeland 2022,['Yung Slippy'],146896,[],false,5255048,24,218960.33333333334,77
no,2022,5Y35SjAfXjjG0sFQ3KOxmm,Nobody Gets Me,['SZA'],180853,"['pop', 'r&b']",true,656195,3,218731.66666666666,78
no,2022,0LOCSZsi6mwN14aWHi8VCI,HAALAND,"['Kevin Lauren', 'BEK & Moberg']",104270,"['norwegian pop rap', 'russelater']",false,3046300,14,217592.85714285713,79
no,2022,6qMf3eqbmToDXj7LixyK1w,"Slå hjerte, slå",['Chris Holsten'],197100,"['norwegian pop', 'norwegian indie']",false,7461638,35,213189.65714285715,80
no,2022,6JIC3hbC28JZKZ8AlAqX8h,Cold Heart - PNAU Remix,"['Elton John', 'Dua Lipa', 'PNAU']",202735,"['dance pop', 'alternative dance', 'pop', 'glam rock', 'uk pop', 'piano rock', 'edm', 'aussietronica', 'australian dance', 'australian electropop', 'mellow gold']",false,10415169,49,212554.4693877551,81
no,2022,26d3s0266f5EwHuRr5CxPi,Block Party,"['Ballinciaga', 'ADAAM']",125555,"['swedish trap pop', 'norwegian pop', 'swedish hip hop']",true,4854608,23,211069.91304347827,82
no,2022,5PnY5zibauLwrMFIBfmwM3,MISSFÖRSTÅTT - Roc Boyz Remix,"['BELL', 'Roc Boyz']",114400,"['swedish pop', 'norwegian pop']",false,3792540,18,210696.66666666666,83
no,2022,1wtOxkiel43cVs0Yux5Q4h,Snow On The Beach (feat. Lana Del Rey),"['Taylor Swift', 'Lana Del Rey']",256124,"['art pop', 'pop']",true,631698,3,210566.0,84
no,2022,0KQRhak4Irr2CKxgQ9U6ay,MEAN!,['Madeline The Person'],143960,['gen z singer-songwriter'],false,2945161,14,210368.64285714287,85
no,2022,1CKzgcXfVsQwfoWA8Ft048,17.mai,['Ramón'],161649,"['norwegian pop', 'norwegian pop rap']",false,3527588,17,207505.17647058822,86
no,2022,3yMC1KsTwh0ceXdIe4QQAQ,Fingers Crossed,['Lauren Spencer Smith'],175344,"['pop', 'alt z', 'gen z singer-songwriter', 'uk pop']",false,7673005,37,207378.51351351352,87
no,2022,1IPIgDNQNF9dFHkyOEkojp,Come First,['Astrid S'],132900,"['alt z', 'norwegian pop', 'tropical house', 'pop', 'dance pop']",false,1646077,8,205759.625,88
no,2022,3LtpKP5abr2qqjunvjlX5i,Doja,['Central Cee'],97392,"['melodic drill', 'drill brasileiro']",true,3070102,15,204673.46666666667,89
no,2022,1qEmFfgcLObUfQm0j1W2CK,Late Night Talking,['Harry Styles'],177954,['pop'],false,4274711,21,203557.66666666666,90
no,2022,2Y7npn076wSZJgH8HVr2B2,Den fineste Chevy'n (feat. Maria Mena),"['Halva Priset', 'Maria Mena']",185373,"['candy pop', 'norwegian pop', 'norwegian singer-songwriter']",true,9256802,46,201234.8260869565,91
no,2022,2gbRKKSyW7e7vAkyvrJkte,Pray,['Jessie Murph'],146266,"['alt z', 'pop']",true,2806276,14,200448.2857142857,92
no,2022,2DB4DdfCFMw1iaR6JaR03a,Bam Bam (feat. Ed Sheeran),"['Camila Cabello', 'Ed Sheeran']",206070,"['uk pop', 'dance pop', 'pop', 'post-teen pop']",false,6744923,34,198380.08823529413,93
no,2022,1zOOl8f7qkjj0AmvlCfLyQ,The Drum,['Alan Walker'],189287,['electro house'],false,3560159,18,197786.61111111112,94
