"year","country","positive","neutral","negative","happiness","developed_country","comb","in_one"
2020,"Malaysia",4.63636363636364,0.545454545454545,4.81818181818182,6.014199,FALSE,-0.181818181818182,0.090909090909091
2021,"Malaysia",5,0.272727272727273,4.72727272727273,6.0103917,FALSE,0.272727272727272,0.409090909090909
2022,"Malaysia",4.18181818181818,0.727272727272727,5.09090909090909,6.0480065,FALSE,-0.909090909090908,-0.545454545454545
2018,"Norway",4.63636363636364,1.09090909090909,4.27272727272727,7.444262,TRUE,0.363636363636364,0.90909090909091
2019,"Norway",3.63636363636364,0.727272727272727,5.63636363636364,7.4421396,TRUE,-2,-1.63636363636364
2020,"Norway",4.09090909090909,0.545454545454545,5.36363636363636,7.2900324,TRUE,-1.27272727272727,-1
2021,"Norway",4.18181818181818,0.818181818181818,5,7.3615737,TRUE,-0.818181818181818,-0.409090909090909
2022,"Norway",3.36363636363636,1.36363636363636,5.27272727272727,7.2946043,TRUE,-1.90909090909091,-1.22727272727273
2018,"Philippines",4.18181818181818,2,3.81818181818182,5.8691726,FALSE,0.363636363636363,1.36363636363636
2019,"Philippines",3.63636363636364,2.09090909090909,4.27272727272727,6.267745,FALSE,-0.636363636363636,0.40909090909091
2020,"Philippines",3,1.45454545454545,5.54545454545455,5.079585,FALSE,-2.54545454545455,-1.81818181818182
2021,"Philippines",4.45454545454545,1.36363636363636,4.18181818181818,5.965058,FALSE,0.272727272727272,0.954545454545454
2022,"Philippines",3.72727272727273,1.09090909090909,5.18181818181818,5.9949603,FALSE,-1.45454545454545,-0.909090909090909
2018,"Singapore",4.18181818181818,0.909090909090909,4.90909090909091,6.374564,TRUE,-0.727272727272728,-0.272727272727273
2019,"Singapore",4,1.27272727272727,4.72727272727273,6.37836,TRUE,-0.727272727272728,-0.0909090909090913
2020,"Singapore",4.54545454545454,0.545454545454545,4.90909090909091,6.3771,TRUE,-0.363636363636364,-0.0909090909090915
2021,"Singapore",4.72727272727273,0.454545454545455,4.81818181818182,6.586717,TRUE,-0.0909090909090908,0.136363636363636
2022,"Singapore",3.81818181818182,0.454545454545455,5.72727272727273,6.333046,TRUE,-1.90909090909091,-1.68181818181818
2018,"Thailand",4.54545454545454,2,3.45454545454545,6.011562,FALSE,1.09090909090909,2.09090909090909
2019,"Thailand",3,3.72727272727273,3.27272727272727,6.0221515,FALSE,-0.272727272727272,1.59090909090909
2020,"Thailand",3.09090909090909,3.54545454545455,3.36363636363636,5.8845444,FALSE,-0.272727272727273,1.5
2021,"Thailand",2.81818181818182,3,4.18181818181818,5.638097,FALSE,-1.36363636363636,0.136363636363636
2022,"Thailand",3.27272727272727,3.36363636363636,3.36363636363636,6.0071173,FALSE,-0.0909090909090913,1.59090909090909
2018,"Turkey",6.72727272727273,0.545454545454545,2.72727272727273,5.1856894,FALSE,4,4.27272727272727
2019,"Turkey",7.09090909090909,0.454545454545455,2.45454545454545,4.8720737,FALSE,4.63636363636364,4.86363636363636
2020,"Turkey",6.81818181818182,0.181818181818182,3,4.861554,FALSE,3.81818181818182,3.90909090909091
2021,"Turkey",6.90909090909091,0.181818181818182,2.90909090909091,4.3666396,FALSE,4,4.09090909090909
2022,"Turkey",6.81818181818182,0.454545454545455,2.72727272727273,5.0934415,FALSE,4.09090909090909,4.31818181818182
2018,"United States",3.45454545454545,1.09090909090909,5.45454545454545,6.8826847,TRUE,-2,-1.45454545454545
2019,"United States",3.72727272727273,0.909090909090909,5.36363636363636,6.9437013,TRUE,-1.63636363636364,-1.18181818181818
2020,"United States",3.81818181818182,0.454545454545455,5.72727272727273,7.028088,TRUE,-1.90909090909091,-1.68181818181818
2021,"United States",4.54545454545454,0.545454545454545,4.90909090909091,6.959088,TRUE,-0.363636363636364,-0.0909090909090915
2022,"United States",3.36363636363636,1,5.63636363636364,6.69279,TRUE,-2.27272727272727,-1.77272727272727
